epoka 1/1000   błąd=0.815725 
epoka 2/1000   błąd=0.718941 
epoka 3/1000   błąd=0.432595 
epoka 4/1000   błąd=0.344949 
epoka 5/1000   błąd=0.342479 
epoka 6/1000   błąd=0.337940 
epoka 7/1000   błąd=0.271004 
epoka 8/1000   błąd=0.220728 
epoka 9/1000   błąd=0.125935 
epoka 10/1000   błąd=0.111834 
epoka 11/1000   błąd=0.111576 
epoka 12/1000   błąd=0.111492 
epoka 13/1000   błąd=0.111452 
epoka 14/1000   błąd=0.111429 
epoka 15/1000   błąd=0.111415 
epoka 16/1000   błąd=0.111405 
epoka 17/1000   błąd=0.111399 
epoka 18/1000   błąd=0.111394 
epoka 19/1000   błąd=0.111390 
epoka 20/1000   błąd=0.111387 
epoka 21/1000   błąd=0.111385 
epoka 22/1000   błąd=0.111383 
epoka 23/1000   błąd=0.111382 
epoka 24/1000   błąd=0.111381 
epoka 25/1000   błąd=0.111380 
epoka 26/1000   błąd=0.111379 
epoka 27/1000   błąd=0.111378 
epoka 28/1000   błąd=0.111378 
epoka 29/1000   błąd=0.111377 
epoka 30/1000   błąd=0.111377 
epoka 31/1000   błąd=0.111377 
epoka 32/1000   błąd=0.111377 
epoka 33/1000   błąd=0.111376 
epoka 34/1000   błąd=0.111376 
epoka 35/1000   błąd=0.111376 
epoka 36/1000   błąd=0.111376 
epoka 37/1000   błąd=0.111376 
epoka 38/1000   błąd=0.111375 
epoka 39/1000   błąd=0.111375 
epoka 40/1000   błąd=0.111375 
epoka 41/1000   błąd=0.111375 
epoka 42/1000   błąd=0.111375 
epoka 43/1000   błąd=0.111375 
epoka 44/1000   błąd=0.111375 
epoka 45/1000   błąd=0.111375 
epoka 46/1000   błąd=0.111375 
epoka 47/1000   błąd=0.111375 
epoka 48/1000   błąd=0.111375 
epoka 49/1000   błąd=0.111375 
epoka 50/1000   błąd=0.111375 
epoka 51/1000   błąd=0.111375 
epoka 52/1000   błąd=0.111375 
epoka 53/1000   błąd=0.111374 
epoka 54/1000   błąd=0.111374 
epoka 55/1000   błąd=0.111374 
epoka 56/1000   błąd=0.111374 
epoka 57/1000   błąd=0.111374 
epoka 58/1000   błąd=0.111374 
epoka 59/1000   błąd=0.111374 
epoka 60/1000   błąd=0.111374 
epoka 61/1000   błąd=0.111374 
epoka 62/1000   błąd=0.111374 
epoka 63/1000   błąd=0.111374 
epoka 64/1000   błąd=0.111374 
epoka 65/1000   błąd=0.111374 
epoka 66/1000   błąd=0.111374 
epoka 67/1000   błąd=0.111374 
epoka 68/1000   błąd=0.111374 
